Income Group,Region,GDP
High income: OECD,East Asia & Pacific,2197267.75
High income: OECD,Europe & Central Asia,756704.434783
High income: OECD,Middle East & North Africa,258217.0
High income: OECD,North America,9033012.0
High income: nonOECD,East Asia & Pacific,149624.0
High income: nonOECD,Europe & Central Asia,27766.6
High income: nonOECD,Latin America & Caribbean,27954.8
High income: nonOECD,Middle East & North Africa,214253.142857
High income: nonOECD,North America,5474.0
High income: nonOECD,Sub-Saharan Africa,17697.0
